property_id,id,displayPrice,deedDate,newBuild,tenure,percentageChange
426570|106|,49205160LR,"£269,950",3/31/2000,FALSE,Freehold,
"426604|FLAT 6, 4|",17399743LR,"£560,000",3/18/2022,FALSE,Leasehold,
426609|PARK COURT|FLAT 39,92998617LR,"£435,000",3/18/2022,FALSE,Leasehold,9
426609|PARK COURT|FLAT 39,6153286LR,"£399,000",2/1/2018,FALSE,Leasehold,10
426609|PARK COURT|FLAT 39,49207974LR,"£364,000",6/4/2015,FALSE,Leasehold,95
426609|PARK COURT|FLAT 39,49207899LR,"£186,250",8/1/2003,FALSE,Leasehold,37
426609|PARK COURT|FLAT 39,49207863LR,"£136,000",9/8/2000,TRUE,Leasehold,0
426609|PARK COURT|FLAT 39,49207866LR,"£136,000",9/8/2000,FALSE,Leasehold,
"1715452|ST. NICHOLAS HOUSE, 33|FLAT 4",15580663LR,"£370,000",3/18/2022,FALSE,Leasehold,48
"1715452|ST. NICHOLAS HOUSE, 33|FLAT 4",49211397LR,"£250,000",12/12/2007,FALSE,Leasehold,29
"1715452|ST. NICHOLAS HOUSE, 33|FLAT 4",49211376LR,"£194,000",6/28/2004,FALSE,Leasehold,33
"1715452|ST. NICHOLAS HOUSE, 33|FLAT 4",49211343LR,"£146,000",7/24/2001,FALSE,Leasehold,95
"1715452|ST. NICHOLAS HOUSE, 33|FLAT 4",49211277LR,"£75,000",9/27/1996,FALSE,Leasehold,
"426455|KINGS MEWS, 53A|1",92998593LR,"£690,000",3/24/2022,FALSE,Freehold,33
"426455|KINGS MEWS, 53A|1",49194510LR,"£519,000",4/8/2014,TRUE,Freehold,
1115001|2|,14978245LR,"£565,000",3/25/2022,FALSE,Freehold,19
1115001|2|,56381180LR,"£475,000",7/29/2019,FALSE,Freehold,61
1115001|2|,49204266LR,"£295,000",9/30/2011,FALSE,Freehold,5
1115001|2|,49204245LR,"£281,000",10/12/2006,FALSE,Freehold,182
1115001|2|,49204218LR,"£99,500",1/4/1999,FALSE,Freehold,
"426635|EISENHOWER HOUSE, 12|FLAT 6",15886675LR,"£350,000",3/28/2022,FALSE,Leasehold,71
"426635|EISENHOWER HOUSE, 12|FLAT 6",49210506LR,"£205,000",5/31/2012,FALSE,Leasehold,
426584|76|,14978257LR,"£765,000",3/31/2022,FALSE,Freehold,125
426584|76|,49206546LR,"£339,500",11/17/2006,FALSE,Freehold,104
426584|76|,49206504LR,"£166,500",1/7/2000,FALSE,Freehold,
"1346069|CHERRY TREE COURT, 20|FLAT 5",19218355LR,"£415,000",3/31/2022,FALSE,Leasehold,
1114970|31A|,15277237LR,"£400,000",3/31/2022,FALSE,Freehold,8
1114970|31A|,6909661LR,"£370,000",3/29/2018,FALSE,Freehold,85
1114970|31A|,49196190LR,"£200,000",2/2/2009,FALSE,Freehold,63
1114970|31A|,49196130LR,"£122,500",8/18/2000,FALSE,Freehold,99
1114970|31A|,49196115LR,"£61,500",5/30/1997,FALSE,Leasehold,
899568|40|,17241352LR,"£810,000",9/16/2022,FALSE,Freehold,
899380|48|FLAT 2,20285503LR,"£458,425",9/16/2022,FALSE,Leasehold,284
899380|48|FLAT 2,82751988LR,"£119,250",9/26/1997,FALSE,Leasehold,
899284|42|,16669333LR,"£685,000",9/16/2022,FALSE,Leasehold,7
899284|42|,9366811LR,"£637,500",2/28/2019,FALSE,Leasehold,34
899284|42|,82741425LR,"£476,500",4/24/2014,FALSE,Leasehold,
899388|MEADOWSIDE|FLAT 12,16669372LR,"£540,000",9/16/2022,FALSE,Leasehold,-1
899388|MEADOWSIDE|FLAT 12,4407898LR,"£545,000",6/17/2016,FALSE,Leasehold,61
899388|MEADOWSIDE|FLAT 12,82753104LR,"£338,000",1/11/2013,TRUE,Leasehold,
899367|377A|,94175466LR,"£315,000",9/20/2022,FALSE,Leasehold,220
899367|377A|,82750944LR,"£98,500",4/24/2003,FALSE,Leasehold,
1759857|7|,17241328LR,"£490,000",9/20/2022,FALSE,Leasehold,7
1759857|7|,82763094LR,"£457,500",9/5/2014,FALSE,Leasehold,62
1759857|7|,82763091LR,"£282,500",6/1/2012,FALSE,Leasehold,13
1759857|7|,82763073LR,"£249,990",8/16/2007,FALSE,Leasehold,0
1759857|7|,82763055LR,"£249,950",6/21/2006,FALSE,Leasehold,28
1759857|7|,82763025LR,"£195,000",6/29/2001,TRUE,Leasehold,
899487|25|,16669405LR,"£370,000",9/21/2022,FALSE,Leasehold,1
899487|25|,8804518LR,"£366,000",6/26/2018,FALSE,Leasehold,148
899487|25|,82764117LR,"£147,500",2/26/2001,FALSE,Leasehold,99
899487|25|,82764018LR,"£74,000",9/23/1996,TRUE,Leasehold,
1618551|ORLEANS COURT|35,17241289LR,"£255,000",9/21/2022,FALSE,Leasehold,6
1618551|ORLEANS COURT|35,7622311LR,"£240,000",7/13/2018,FALSE,Leasehold,28
1618551|ORLEANS COURT|35,82759263LR,"£187,500",9/20/2013,FALSE,Leasehold,10
1618551|ORLEANS COURT|35,82759245LR,"£169,950",7/13/2007,FALSE,Leasehold,
1262075|29|,17241283LR,"£1,704,000",9/21/2022,FALSE,Freehold,
899232|109|,16669309LR,"£328,000",9/26/2022,FALSE,Leasehold,74
899232|109|,82734249LR,"£188,000",2/6/2012,FALSE,Leasehold,189
899232|109|,82734000LR,"£64,950",1/26/1996,TRUE,Leasehold,
1618522|39|,18420874LR,"£2,330,500",9/26/2022,FALSE,Freehold,
899275|73|,16669327LR,"£2,230,000",9/26/2022,FALSE,Freehold,20
899275|73|,82738563LR,"£1,865,000",11/8/2013,FALSE,Freehold,381
899275|73|,82738506LR,"£387,500",11/14/1997,FALSE,Freehold,
899566|46|,17241346LR,"£1,245,000",9/26/2022,FALSE,Freehold,32
899566|46|,82769712LR,"£945,000",9/23/2015,FALSE,Freehold,
1618562|13A|,20526745LR,"£340,000",9/26/2022,FALSE,Leasehold,84
1618562|13A|,82764507LR,"£185,000",4/17/2009,FALSE,Leasehold,-5
1618562|13A|,82764483LR,"£194,000",1/5/2007,TRUE,Leasehold,
1262045|149|FIRST FLOOR FLAT,16669351LR,"£450,000",9/26/2022,FALSE,Leasehold,7
1262045|149|FIRST FLOOR FLAT,12223135LR,"£420,000",4/7/2021,FALSE,Leasehold,
"899427|BEVAN COURT, 31|FLAT 18",17241286LR,"£1,350,000",9/27/2022,FALSE,Leasehold,23
"899427|BEVAN COURT, 31|FLAT 18",82758231LR,"£1,100,000",10/25/2011,FALSE,Leasehold,44
"899427|BEVAN COURT, 31|FLAT 18",82758225LR,"£765,000",11/1/2007,FALSE,Leasehold,16
"899427|BEVAN COURT, 31|FLAT 18",82758216LR,"£660,000",3/20/2006,FALSE,Leasehold,71
"899427|BEVAN COURT, 31|FLAT 18",82758186LR,"£385,000",9/30/1998,TRUE,Leasehold,
899294|14|,16669336LR,"£1,025,000",9/28/2022,FALSE,Freehold,16
899294|14|,82743447LR,"£880,000",3/31/2015,FALSE,Freehold,68
899294|14|,82743426LR,"£525,000",1/27/2011,FALSE,Freehold,270
899294|14|,82743282LR,"£142,000",4/30/1997,FALSE,Freehold,
1262041|15|,17580295LR,"£3,780,000",9/28/2022,FALSE,Freehold,35
1262041|15|,82746372LR,"£2,800,000",4/12/2007,FALSE,Freehold,
1262090|83|,17241295LR,"£752,500",9/30/2022,FALSE,Freehold,69
1262090|83|,82759749LR,"£446,000",3/25/2011,FALSE,Freehold,78
1262090|83|,82759638LR,"£250,000",3/29/2000,FALSE,Freehold,32
1262090|83|,82759626LR,"£190,000",9/28/1998,FALSE,Freehold,67
1262090|83|,82759623LR,"£113,500",12/1/1997,FALSE,Freehold,
"899360|CARADON COURT, 1A|FLAT 18",17241253LR,"£373,000",9/30/2022,FALSE,Leasehold,6
"899360|CARADON COURT, 1A|FLAT 18",5804422LR,"£351,500",7/21/2017,FALSE,Leasehold,10
"899360|CARADON COURT, 1A|FLAT 18",82750023LR,"£319,950",3/12/2014,FALSE,Leasehold,44
"899360|CARADON COURT, 1A|FLAT 18",82750020LR,"£222,500",7/24/2009,FALSE,Leasehold,20
"899360|CARADON COURT, 1A|FLAT 18",82750008LR,"£185,000",8/2/2002,FALSE,Leasehold,
899591|34|,17580355LR,"£1,775,000",9/30/2022,FALSE,Freehold,97
899591|34|,82772418LR,"£900,000",7/23/2010,FALSE,Freehold,227
899591|34|,82772400LR,"£275,000",3/27/1997,FALSE,Freehold,
1402366|97|,18420925LR,"£900,000",9/30/2022,FALSE,Freehold,
1402339|RICHMOND MANSIONS|9,17241262LR,"£1,450,000",10/3/2022,FALSE,Leasehold,61
1402339|RICHMOND MANSIONS|9,56251325LR,"£900,000",1/11/2019,FALSE,Leasehold,
1262027|17|,17241208LR,"£2,170,000",10/6/2022,FALSE,Freehold,14
1262027|17|,82742982LR,"£1,899,000",10/10/2014,FALSE,Freehold,67
1262027|17|,82742970LR,"£1,140,000",9/8/2010,FALSE,Freehold,
899414|ROSEFINCH HOUSE|,20033557LR,"£5,750,000",10/6/2022,FALSE,Freehold,
1264234|127|,9847285LR,"£435,000",5/3/2019,FALSE,Freehold,
906152|LONGFORD COURT|14,9847297LR,"£265,000",5/10/2019,FALSE,Leasehold,
1264183|10|,10091911LR,"£650,000",5/21/2019,FALSE,Freehold,
905973|57|,90518331LR,"£490,000",5/23/2019,FALSE,Freehold,
1403155|4A|,10091920LR,"£249,000",5/24/2019,FALSE,Freehold,
906088|52|,10091929LR,"£487,500",5/30/2019,FALSE,Freehold,
906112|9|,10091932LR,"£390,000",5/31/2019,FALSE,Freehold,90
906112|9|,83301108LR,"£205,000",11/11/2005,FALSE,Freehold,
1264188|29|,10091914LR,"£410,000",6/3/2019,FALSE,Freehold,75
1264188|29|,83294517LR,"£234,000",11/11/2011,FALSE,Freehold,
906067|220|,10369420LR,"£312,500",6/3/2019,FALSE,Leasehold,60
906067|220|,83298588LR,"£195,000",4/17/2014,FALSE,Leasehold,
905893|12|,10091902LR,"£415,000",6/4/2019,FALSE,Freehold,38
905893|12|,9100492LR,"£300,000",12/19/2018,FALSE,Freehold,
1620041|42A|,91708605LR,"£90,000",6/10/2019,FALSE,Leasehold,-22
1620041|42A|,83292267LR,"£116,000",3/23/2004,FALSE,Leasehold,113
1620041|42A|,83292186LR,"£54,500",8/28/1998,FALSE,Leasehold,
906109|16|,56530745LR,"£415,000",6/14/2019,FALSE,Freehold,83
906109|16|,83300820LR,"£227,000",5/21/2014,FALSE,Freehold,
1620034|110|FLAT 1,10369396LR,"£250,000",6/18/2019,FALSE,Leasehold,6
1620034|110|FLAT 1,6796138LR,"£235,000",3/12/2018,FALSE,Leasehold,88
1620034|110|FLAT 1,83290536LR,"£124,999",6/27/2013,FALSE,Leasehold,
905868|52|FLAT 2,10643899LR,"£250,000",6/26/2019,FALSE,Leasehold,
905868|52|FLAT 1,10643896LR,"£250,000",6/26/2019,FALSE,Leasehold,
4707791|8|,10643920LR,"£525,000",6/27/2019,TRUE,Freehold,
1264226|497|,56530739LR,"£305,000",7/1/2019,FALSE,Leasehold,
"1264240|FLORA HOUSE, 1A|",90921738LR,"£370,000",7/1/2019,FALSE,Freehold,
906093|80|,10369426LR,"£407,500",7/1/2019,FALSE,Freehold,
906103|72|,11519743LR,"£485,000",7/1/2019,FALSE,Freehold,31
906103|72|,83300496LR,"£370,000",4/27/2007,FALSE,Freehold,32
906103|72|,83300481LR,"£279,950",9/21/2006,FALSE,Freehold,
1620061|23|,10369408LR,"£362,000",7/17/2019,FALSE,Freehold,
1264239|34|,56530748LR,"£340,000",7/26/2019,FALSE,Freehold,
4707791|4|,56530733LR,"£500,000",8/2/2019,TRUE,Freehold,
906076|19|,56816360LR,"£300,000",8/2/2019,FALSE,Freehold,
1620045|95|,56530730LR,"£430,000",8/6/2019,FALSE,Freehold,
1291328|5|,17710537LR,"£115,000",7/15/2022,FALSE,Leasehold,
4796261|ARCHER APARTMENTS|FLAT 13,20387767LR,"£314,450",7/15/2022,TRUE,Leasehold,
"1338191|PHOENIX HOUSE, 68|FLAT 5",18773053LR,"£500,000",7/15/2022,TRUE,Leasehold,
363437|31|,15870469LR,"£820,000",7/15/2022,FALSE,Freehold,14
363437|31|,9213487LR,"£720,000",2/27/2019,FALSE,Freehold,412
363437|31|,45739782LR,"£140,500",7/15/1996,FALSE,Freehold,
363645|17|FLAT 2,15870535LR,"£321,250",7/15/2022,FALSE,Leasehold,57
363645|17|FLAT 2,45753234LR,"£205,000",6/29/2007,FALSE,Leasehold,23
363645|17|FLAT 2,45753183LR,"£167,000",3/6/2003,FALSE,Leasehold,51
363645|17|FLAT 2,45753162LR,"£110,500",11/19/1999,FALSE,Leasehold,
363528|GAYTON COURT|FLAT 11,15870514LR,"£385,000",7/18/2022,FALSE,Leasehold,135
363528|GAYTON COURT|FLAT 11,45745722LR,"£164,000",8/10/2001,FALSE,Leasehold,
"4063599|SATURN HOUSE, 12 - 14|FLAT 8",16183789LR,"£380,000",7/18/2022,FALSE,Leasehold,17
"4063599|SATURN HOUSE, 12 - 14|FLAT 8",7159459LR,"£325,000",4/27/2018,FALSE,Leasehold,
363798|78|,15870571LR,"£284,000",7/18/2022,FALSE,Leasehold,103
363798|78|,45762054LR,"£139,950",4/12/2010,FALSE,Leasehold,
363534|CHARVILLE COURT|FLAT 10,15870520LR,"£405,000",7/18/2022,FALSE,Leasehold,20
363534|CHARVILLE COURT|FLAT 10,45746070LR,"£338,000",10/7/2015,FALSE,Leasehold,
4796261|ARCHER APARTMENTS|FLAT 8,18524557LR,"£319,130",7/19/2022,TRUE,Leasehold,
1096892|98|,17710465LR,"£550,000",7/19/2022,FALSE,Freehold,
